,time,tweets
60,2018-07-21 18:54:58, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
61,2018-07-21 18:53:44, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
62,2018-07-21 18:52:58, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
63,2018-07-21 18:20:10, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
64,2018-07-21 18:17:47,Yes they were watching which is why French Govt provided the clarification
65,2018-07-21 17:48:17, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
66,2018-07-21 17:36:44, We also need a counter narrative a vision for India with action plan for all the failures of ModiSarkar amp providing
67,2018-07-21 17:33:34, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
68,2018-07-21 17:05:31, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
69,2018-07-21 17:05:16, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
70,2018-07-21 17:04:42, BetiBachao was launched by ModiSarkar in Haryana And the state has become a horror state for women When will they
71,2018-07-21 16:55:36, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
72,2018-07-21 16:54:55, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
73,2018-07-21 16:46:02, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
74,2018-07-21 16:44:39, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
75,2018-07-21 16:40:29, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
76,2018-07-21 16:37:22, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
77,2018-07-21 16:32:28, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
78,2018-07-21 16:26:30, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
79,2018-07-21 16:25:20, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
80,2018-07-21 16:25:16, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
81,2018-07-21 16:21:13, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
82,2018-07-21 16:21:12, FranklySpeak This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has been a
83,2018-07-21 16:20:50,This is truly people s government ModiSarkar Every ethically right demand of India s daughters and sons has b
84,2018-07-21 15:34:45,ModiSarkar Mr PM please declare treason publically anti state instigating speeches as dis
85,2018-07-21 15:31:43,in i will stand by ModiSarkar firmer and taller if he declare lynching as violation of ind
86,2018-07-21 14:58:36, wonderful decision eva its commendable ma am every girl shud hv access to sanitary napkins n
87,2018-07-21 14:58:01,wonderful decision eva its commendable ma am every girl shud hv access to sanitary n
88,2018-07-21 13:37:03,So as per Rahul Kanwal the biggest interest of Nationalist sarkar is to protect French compa
89,2018-07-21 13:06:38,womenempowerment is top priorities of modisarkar
90,2018-07-21 12:51:05,If you look at his tweets I know I have you won t find a single tweet from him as a finance ministe
91,2018-07-21 12:38:41, IndiaTrustsModi NoConfidenceMotion A fool can hug But A hug cannot fool Aab ki baar 400 paar For ModiSarkar
92,2018-07-21 12:37:39,IndiaTrustsModi NoConfidenceMotion A fool can hug But A hug cannot fool Aab ki baar 400 paar For ModiSarkar
93,2018-07-21 11:32:34, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
94,2018-07-21 09:59:55, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
95,2018-07-21 09:53:21,Maybe RahulGandhi time has come as a senior editor dedicates a full article about him But what we s
96,2018-07-21 09:50:20,We also need a counter narrative a vision for India with action plan for all the failures of ModiSarkar amp provid
97,2018-07-21 09:32:28, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
98,2018-07-21 09:30:21,whatsapp does walk the talk They limit the forward option to restrict passing of fakenews Bdw how will the po
99,2018-07-21 09:19:43, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
100,2018-07-21 09:03:31, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
101,2018-07-21 08:12:13,We may like it or not but the reality is MobLynching will continue happening not just because the government to
102,2018-07-21 08:02:14, Summary of what Hon ble PM ji did to PongaPandit amp all his Pidis amp his TukdeTukdeGang members in
103,2018-07-21 07:53:10, As always in few a direct words tears apart ModiSarkar NoConfidenceMotion
104,2018-07-21 07:18:41, BetiBachao was launched by ModiSarkar in Haryana And the state has become a horror state for women When will they
