,time,tweets
59,2018-07-16 02:57:35, Prazad Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step PyNom
60,2018-07-16 02:49:50,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
61,2018-07-16 02:49:34,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
62,2018-07-16 02:39:56,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
63,2018-07-16 02:36:40,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
64,2018-07-16 02:34:04,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
65,2018-07-16 02:31:49,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
66,2018-07-16 02:23:45,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
67,2018-07-16 01:15:30,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
68,2018-07-15 18:09:53,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
69,2018-07-15 17:58:38,Modi government banked the unbanked under JanDhanYojana Providing access to social security to all is next step
70,2018-07-15 08:48:03, vert JanDhanYojana is good but Is India have infrastructure for it Why not digitising banks and making it secure under blo
71,2018-07-13 10:24:05, 3 years back I had never gone to a bank Today I have helped open more than 1 000 JanDhanYojana accounts MP woman w
