time,tweets
2018-08-07 17:32:57,"RT @Pankaj___Sharma: #NoConfidenceMotion
@RahulGandhi did not walk up to @narendramodi of his urge to grab his chair. Rahul did that to sha…"
2018-08-07 17:08:11,"RT @YGaurav_: No of seats - 544
Present no - 535
Seats required for majority - 268

Total BJP MP - 273
NDA - 311
NDA without shivsena - 293…"
2018-08-07 16:57:14,RT @SheilaDikshit: Congratulations @RahulGandhi for your stellar performance in the Lok Sabha. God bless you. #NoConfidenceMotion #RahulGan…
2018-08-07 16:54:42,RT @INCIndia: Congress President @RahulGandhi addresses the Parliament during the #NoConfidenceMotion URL
2018-08-07 16:54:39,RT @Oommen_Chandy: Yet another day in Parliament when PM Modi avoids critical issues put forth by @RahulGandhi by replying with lies &amp; rhet…
2018-08-07 16:51:10,RT @varunpuri1984: I thank you @RahulGandhi for for the entertainment for the day . It was real treat to see you speak in parliament . Now…
2018-08-07 16:45:28,"RT @PIB_India: There should be strong action against #MobLynching, We will formulate a strong law against it Home Minister @rajnathsingh
#N…"
2018-08-07 16:29:29,"RT @DhanrajDara1: #NoConfidenceMotion 
 totally confusion about other parties but BJP has been cleared because
#खट्टर_का_काला_चिट्ठा
Has be…"
2018-08-07 16:29:01,"RT @DhanrajDara1: #NoConfidenceMotion   
                                           Now the time to #खूनी_सरकार .......
#अंधाकानून ,…"
2018-08-07 16:28:57,"RT @DhanrajDara1: #फौजी_का_अपमान
Is not acceptable for any Indian but our unfortunately it has been happened.
An Army man has been bearing…"
2018-08-07 16:23:16,"RT @abhishkJntrMnt: Rahul Gandhi
#NoConfidenceMotion
Watch how the the honest soldier is wrongly framed into the Sedition case.
#फौजी_का_अप…"
2018-08-07 16:21:37,"RT @YGaurav_: @narendramodi Its matter of shame for ""Rahul Gandhi"" and  CONgress . PM @narendramodi smashed them with his speech. #NoConfid…"
2018-08-07 15:54:12,RT @ParitalaSreera1: Congratulations #TDP MP’s on passing #NoConfidenceMotion against #BJP government. URL
2018-08-07 15:49:13,"@otvnews @otvkhabar BJD Don't have guts to participate any debate either in LS or RS,  They had great opportunity t… URL"
2018-08-07 15:47:01,"RT @Sunanda_26: Issues Rahul Gandhi  raised in his speech-
-Rafael Deal
-Low Employment Rate
-Doklam Standoff
-Modi's China visit
-Crony ca…"
2018-08-07 15:30:25,"RT @YGaurav_: @narendramodi Back in 1999 ; 

BJP -- 182  
CONgress -- 101 
other regional parties -- 101 seats. 

Atal Bihari Vajpayee ji w…"
2018-08-07 15:27:37,"RT @YGaurav_: @narendramodi Back in 1999 ; 

BJP -- 182  
CONgress -- 101 
other regional parties -- 101 seats. 

Atal Bihari Vajpayee ji w…"
2018-08-07 15:23:40,RT @AditiSinghINC: #RahulHugsModi Rahul Gandhi Ji sets the Gold Standard of politics by walking the talk with Love/Compassion Not HATE/BIGO…
2018-08-07 15:09:03,RT @ysjagan: Keenly following the happenings at the Loksabha #NoConfidenceMotion. I will react on this episode at tomorrow’s 8:30am press c…
2018-08-07 14:45:48,"RT @bharti201190: Who is the real master mind behind barwala kand
Why the nation is still being kept in darkness
false cases being framed o…"
2018-08-07 14:45:45,"RT @abhishkJntrMnt: #खट्टर_का_काला_चिठ्ठा  
#NoConfidenceMotion
@HarshadeSilvaMP @MohamedNasheed @NalakaG @akashbanerjee @hmtvlive @TV9Telu…"
2018-08-07 14:45:43,"RT @abhishkJntrMnt: #NoConfidenceMotion
To what extent can the Haryana Govt go to hide Truth behind Barwala kand!
#खट्टर_का_काला_चिठ्ठा  
@…"
2018-08-07 14:45:40,"RT @abhishkJntrMnt: #NoConfidenceMotion
@IndiaToday @abpnewstv @IYCUttarakhand @loksabhatv @yschowdary @akhileshanandd @SudhanshuBJP @Sandi…"
